date,value,pct_change
2020-01-01,75100.0,-0.13297872340425343
2020-02-01,75200.0,0.0
2020-03-01,73900.0,-1.7287234042553168
2020-04-01,57000.0,-24.20212765957447
2020-05-01,59200.0,-21.276595744680847
2020-06-01,63000.0,-16.223404255319153
2020-07-01,63900.0,-15.026595744680849
2020-08-01,64099.99999999999,-14.760638297872353
2020-09-01,64300.0,-14.494680851063835
2020-10-01,64599.99999999999,-14.095744680851075
2020-11-01,65099.99999999999,-13.430851063829795
2020-12-01,65000.0,-13.563829787234038
2021-01-01,63400.0,-15.691489361702127
2021-02-01,65500.0,-12.898936170212771
2021-03-01,66300.0,-11.835106382978722
2021-04-01,66800.0,-11.170212765957444
2021-05-01,67300.0,-10.505319148936165
2021-06-01,67600.0,-10.106382978723405
2021-07-01,68200.0,-9.308510638297873
2021-08-01,68800.0,-8.510638297872342
2021-09-01,69000.0,-8.244680851063835
2021-10-01,69600.0,-7.446808510638303
2021-11-01,70000.0,-6.914893617021278
2021-12-01,70500.0,-6.25
2022-01-01,70900.0,-5.718085106382976
2022-02-01,71300.0,-5.186170212765962
2022-03-01,71700.0,-4.654255319148937
2022-04-01,71700.0,-4.654255319148937
2022-05-01,72100.0,-4.122340425531911
2022-06-01,72200.0,-3.9893617021276584
2022-07-01,72900.0,-3.0585106382978733
2022-08-01,73100.0,-2.7925531914893664
2022-09-01,73500.0,-2.2606382978723416
2022-10-01,72900.0,-3.0585106382978733
2022-11-01,73300.0,-2.5265957446808485
2022-12-01,73500.0,-2.2606382978723416
2023-01-01,73700.0,-1.9946808510638347
2023-02-01,74100.0,-1.46276595744681
2023-03-01,73800.0,-1.8617021276595702
2023-04-01,73800.0,-1.8617021276595702
2023-05-01,74200.0,-1.3297872340425565
2023-06-01,74500.0,-0.9308510638297851
2023-07-01,74400.0,-1.0638297872340385
2023-08-01,74200.0,-1.3297872340425565
2023-09-01,74200.0,-1.3297872340425565
2023-10-01,74400.0,-1.0638297872340385
2023-11-01,74400.0,-1.0638297872340385
2023-12-01,74400.0,-1.0638297872340385
2024-01-01,74900.0,-0.3989361702127714
2024-02-01,74400.0,-1.0638297872340385
2024-03-01,74400.0,-1.0638297872340385
2024-04-01,74700.0,-0.6648936170212782
2024-05-01,75000.0,-0.26595744680850686
2024-06-01,75100.0,-0.13297872340425343
2024-07-01,75100.0,-0.13297872340425343
2024-08-01,75300.0,0.13297872340425343
2024-09-01,75500.0,0.3989361702127603
2024-10-01,77000.0,2.393617021276606
2024-11-01,77100.0,2.5265957446808596
2024-12-01,77400.0,2.92553191489362
2025-01-01,77200.0,2.659574468085113
2025-02-01,77400.0,2.92553191489362
2025-03-01,77200.0,2.659574468085113
2025-04-01,77600.0,3.1914893617021267
2025-05-01,77700.0,3.32446808510638
2025-06-01,77800.0,3.4574468085106336
2025-07-01,77800.0,3.4574468085106336
