date,value,pct_change
2020-01-01,211400.0,-0.23596035865974807
2020-02-01,211900.0,0.0
2020-03-01,209500.0,-1.1326097215667796
2020-04-01,171800.0,-18.92402076451156
2020-05-01,175100.0,-17.36668239735725
2020-06-01,182900.0,-13.685700802265222
2020-07-01,184800.0,-12.78905143935819
2020-08-01,185000.0,-12.694667295894291
2020-09-01,186100.0,-12.175554506842845
2020-10-01,187100.0,-11.70363378952336
2020-11-01,187700.0,-11.420481359131662
2020-12-01,187600.0,-11.467673430863613
2021-01-01,186200.0,-12.128362435110907
2021-02-01,189300.0,-10.66540821142048
2021-03-01,190500.0,-10.099103350637096
2021-04-01,192600.0,-9.108069844266165
2021-05-01,193000.0,-8.919301557338366
2021-06-01,193500.0,-8.683341198678619
2021-07-01,196600.0,-7.220386974988202
2021-08-01,196800.0,-7.126002831524303
2021-09-01,197700.0,-6.701274185936768
2021-10-01,198800.0,-6.182161396885322
2021-11-01,199900.0,-5.663048607833887
2021-12-01,200700.0,-5.28551203397829
2022-01-01,201100.0,-5.096743747050492
2022-02-01,202100.0,-4.624823029731006
2022-03-01,203400.0,-4.011326097215672
2022-04-01,204100.0,-3.6809815950920255
2022-05-01,204000.0,-3.728173666823975
2022-06-01,204300.0,-3.5865974516281263
2022-07-01,204400.0,-3.5394053798961767
2022-08-01,204700.0,-3.397829164700328
2022-09-01,204200.0,-3.633789523360076
2022-10-01,204400.0,-3.5394053798961767
2022-11-01,204000.0,-3.728173666823975
2022-12-01,204200.0,-3.633789523360076
2023-01-01,203600.0,-3.9169419537517736
2023-02-01,204500.0,-3.492213308164227
2023-03-01,203900.0,-3.7753657385559247
2023-04-01,203500.0,-3.964134025483723
2023-05-01,204900.0,-3.3034450212364286
2023-06-01,204900.0,-3.3034450212364286
2023-07-01,204400.0,-3.5394053798961767
2023-08-01,204600.0,-3.4450212364322774
2023-09-01,205300.0,-3.1146767343086412
2023-10-01,204300.0,-3.5865974516281263
2023-11-01,204100.0,-3.6809815950920255
2023-12-01,204200.0,-3.633789523360076
2024-01-01,206100.0,-2.7371401604530443
2024-02-01,204200.0,-3.633789523360076
2024-03-01,204600.0,-3.4450212364322774
2024-04-01,203500.0,-3.964134025483723
2024-05-01,202900.0,-4.247286455875409
2024-06-01,203300.0,-4.058518168947611
2024-07-01,203800.0,-3.8225578102878743
2024-08-01,203100.0,-4.152902312411511
2024-09-01,202900.0,-4.247286455875409
2024-10-01,203500.0,-3.964134025483723
2024-11-01,204000.0,-3.728173666823975
2024-12-01,204700.0,-3.397829164700328
2025-01-01,204300.0,-3.5865974516281263
2025-02-01,203700.0,-3.869749882019824
2025-03-01,204000.0,-3.728173666823975
2025-04-01,204400.0,-3.5394053798961767
2025-05-01,204500.0,-3.492213308164227
2025-06-01,204700.0,-3.397829164700328
2025-07-01,205100.0,-3.2090608777725294
